DATE,BOGZ1LM654090000Q
2011-07-01,8437553.0
2011-10-01,8941397.0
2012-01-01,9888562.0
2012-04-01,9680764.0
2012-07-01,10213795.0
2012-10-01,10363508.0
2013-01-01,11103241.0
2013-04-01,11089666.0
2013-07-01,11656492.0
2013-10-01,12333012.0
2014-01-01,12640668.0
2014-04-01,13148562.0
2014-07-01,12978937.0
2014-10-01,13150628.0
2015-01-01,13519867.0
2015-04-01,13533574.0
2015-07-01,12605717.0
2015-10-01,12897215.0
2016-01-01,12962099.0
2016-04-01,13208765.0
2016-07-01,13682571.0
2016-10-01,13615579.0
2017-01-01,14327132.0
2017-04-01,14795306.0
2017-07-01,15346982.0
2017-10-01,15898985.0
2018-01-01,15874256.0
2018-04-01,16077205.0
2018-07-01,16559687.0
2018-10-01,14669831.0
2019-01-01,16179620.0
2019-04-01,16669576.0
2019-07-01,16694746.0
2019-10-01,17659517.0
2020-01-01,14543146.0
2020-04-01,16776147.0
2020-07-01,17749306.0
2020-10-01,19562556.0
2021-01-01,20271300.0
2021-04-01,21459746.0
2021-07-01,21374931.0
2021-10-01,22208761.0
2022-01-01,20698125.0
2022-04-01,17759596.0
2022-07-01,16617102.0
2022-10-01,17333353.0
2023-01-01,18166217.0
2023-04-01,18850539.0
2023-07-01,18106592.0
2023-10-01,19599666.0
2024-01-01,20830731.0
